city_rank,city_name,osm_type,osm_id,lat,lon,kind,leisure,sport,club,access,name,operator,tennis_courts_tag,surface,in_park,park_name,in_park,park_name
1,Greater London,way,9060653,51.6614017,-0.1009251,sports_centre,sports_centre,tennis,sport,,Enfield Lawn Tennis Club,,,,0,,0,
1,Greater London,way,9066487,51.6501994,-0.0687696,court,pitch,tennis,,,,,,,1,Bush Hill Park,1,Bush Hill Park
1,Greater London,way,9640240,51.6133698,-0.2390922,court,pitch,tennis,,,,,,,1,Mill Hill Park,1,Mill Hill Park
1,Greater London,way,9797897,51.635916,-0.151395,court,pitch,tennis,,,,,,,1,Oak Hill Park,1,Oak Hill Park
1,Greater London,way,9924916,51.3678534,0.1052986,court,pitch,tennis,,private,,,,,0,,0,
1,Greater London,way,9924923,51.367589,0.1059311,court,pitch,tennis,,private,,,,,0,,0,
1,Greater London,way,9935948,51.4784627,-0.3353196,court,pitch,tennis,,,,,,clay,0,,0,
1,Greater London,way,10589795,51.4932991,-0.4004009,sports_centre,sports_centre,tennis,,,David Lloyd Raquet Health and Fitness Club,,,,0,,0,
1,Greater London,way,12546159,51.6615881,-0.0920209,court,pitch,tennis,,,,,,artificial_turf,0,,0,
1,Greater London,way,12546223,51.6619128,-0.0914544,court,pitch,tennis,,,,,,artificial_turf,0,,0,
1,Greater London,way,13001136,51.4492846,-0.0963093,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,13001160,51.4490732,-0.09632,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,13001198,51.4485919,-0.0943157,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,13001238,51.4486704,-0.0939433,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,13001247,51.4479257,-0.0940238,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,13868528,51.4052257,-0.1172761,sports_centre,sports_centre,tennis,,,Norbury Park Lawn Tennis Club,,,,0,,0,
1,Greater London,way,13869015,51.5032022,-0.1734955,court,pitch,tennis,,,,,,,1,Hyde Park,1,Hyde Park
1,Greater London,way,14014520,51.4632757,-0.1180028,court,pitch,football;tennis;netball,,,Ferndale Community Sports Centre,,,,0,,0,
1,Greater London,way,15137411,51.6432134,-0.0787098,sports_centre,sports_centre,tennis,sport,,Enfield Chase Tennis Club,,,,0,,0,
1,Greater London,way,15244833,51.4842623,-0.4120248,court,pitch,tennis,,,,,,,1,Avenue Park,1,Avenue Park
1,Greater London,way,15254174,51.3725557,-0.0512133,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,17555586,51.6098976,-0.1959145,sports_centre,sports_centre,tennis,,,Finchley Lawn Tennis Club,,,,0,,0,
1,Greater London,way,18099654,51.601106,-0.2040908,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,18614176,51.4423512,-0.1799657,sports_centre,sports_centre,cricket;tennis;field_hockey;squash;lacrosse;netball,sport,,The Spencer Club,,,,0,,0,
1,Greater London,way,19248526,51.316438,0.0458218,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,19789972,51.5855066,-0.1955661,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,19801627,51.3151504,-0.1332446,court,pitch,tennis,,,,,,,1,Coulsdon Memorial Ground,1,Coulsdon Memorial Ground
1,Greater London,way,20043930,51.5851845,-0.3465373,court,pitch,tennis;basketball,,,,,,asphalt,1,Harrow Recreation Ground,1,Harrow Recreation Ground
